corp_code,stock_code,corp_name,year,매출액,영업이익,당기순이익,ROE(%),ROA(%),영업이익률(%),매출총이익률(%),SGA비율(%),매출원가율(%),부채비율(%),자기자본비율(%),이자보상배수(배),자산회전율(배),재고회전율(배),매출채권회전율(배),Capex,Capex/매출(%),FCF,FCF마진(%),영업활동현금흐름,배당금지급,고정자산비율(%)
1365825,66800,피에스케이,2025,457213151918.0,88494057075.0,78545663379.0,14.57,12.16,19.36,48.82,29.47,51.18,19.84,83.44,5.48,0.71,2.25,4.58,18533513572.0,4.05,43197623309.0,9.45,61731136881.0,11586685600.0,17.4
208444,20960,피에스케이홀딩스,2023,94716683944.0,26970755131.0,42696378649.0,12.51,10.64,28.48,61.09,32.62,38.91,17.62,85.02,12.74,0.24,2.08,5.91,18366790124.0,19.39,14091542770.0,14.88,32458332894.0,10187398000.0,14.99
208444,20960,피에스케이홀딩스,2024,215508095005.0,88482980891.0,95820109996.0,22.21,18.66,41.06,63.02,21.96,36.98,19.03,84.01,9.97,0.42,2.79,5.62,285104432.0,0.13,66340111508.0,30.78,66625215940.0,12937437000.0,16.17
208444,20960,피에스케이홀딩스,2025,207764042799.0,73400914769.0,91684937183.0,18.11,15.68,35.33,62.85,27.52,37.15,15.5,86.58,10.34,0.36,2.91,7.57,2188813255.0,1.05,79228459016.0,38.13,81417272271.0,15093676500.0,13.42
938721,39030,필옵틱스,2023,300001066109.0,10265296884.0,-43359457048.0,-24.52,-9.62,3.42,14.55,11.13,85.45,154.96,39.22,0.17,0.67,2.15,18.92,32342432960.0,10.78,78751474493.0,26.25,111093907453.0,3654690714.0,30.4
938721,39030,필옵틱스,2024,410893768511.0,13796035047.0,28841292819.0,14.46,7.54,3.36,16.93,13.57,83.07,91.87,52.12,3.7,1.07,5.17,16.85,11966609565.0,2.91,-51361172109.0,-12.5,-39394562544.0,3220547584.0,37.43
938721,39030,필옵틱스,2025,103440867014.0,-34892060535.0,-26429550668.0,-13.79,-6.89,-33.73,7.71,41.44,92.29,100.09,49.98,-7.66,0.27,1.66,4.47,14267960986.0,13.79,-4744079990.0,-4.59,9523880996.0,828560860.0,39.1
445054,81370,하나마이크론,2023,967971484717.0,57904676214.0,963094987.0,0.18,0.06,5.98,13.11,7.13,86.89,216.89,31.56,0.99,0.56,4.95,12.01,330985034836.0,34.19,-247869940268.0,-25.61,83115094568.0,6086456750.0,60.19
445054,81370,하나마이크론,2024,1250692575645.0,106792878899.0,-11157290055.0,-1.84,-0.57,8.54,15.2,6.67,84.8,220.99,31.15,0.87,0.64,6.42,5.76,152851513081.0,12.22,-111880483192.0,-8.95,40971029889.0,4780167350.0,55.18
445054,81370,하나마이크론,2025,1534418874072.0,127689329155.0,65578519945.0,10.05,3.25,8.32,13.84,5.51,86.16,209.16,32.35,1.45,0.76,5.35,5.92,150629250001.0,9.82,24289644575.0,1.58,174918894576.0,7448200680.0,52.44
